Date : 2021-08-03 10:39:21
Directory : /Users/carltonaikins/Desktop/Home/Programming/projects/kounslr/mobile_app
Total : 77 files,  5447 codes, 207 comments, 726 blanks, all 6380 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Dart       |         53 |      5,062 |        101 |        657 |      5,820 |
| XML        |          9 |        125 |         51 |         11 |        187 |
| Groovy     |          4 |         90 |          2 |         22 |        114 |
| JSON       |          3 |         78 |          0 |          1 |         79 |
| YAML       |          2 |         47 |         50 |         20 |        117 |
| Markdown   |          2 |         24 |          0 |         11 |         35 |
| Swift      |          1 |         12 |          2 |          2 |         16 |
| Properties |          2 |          8 |          1 |          1 |         10 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                         | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                            |         77 |      5,447 |        207 |        726 |      6,380 |
| android                                                                                                                                                      |         14 |        216 |         52 |         32 |        300 |
| android/app                                                                                                                                                  |          9 |        170 |         51 |         21 |        242 |
| android/app/src                                                                                                                                              |          7 |         64 |         49 |          9 |        122 |
| android/app/src/debug                                                                                                                                        |          1 |          4 |          3 |          1 |          8 |
| android/app/src/main                                                                                                                                         |          5 |         56 |         43 |          7 |        106 |
| android/app/src/main/res                                                                                                                                     |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                                                                            |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                                                                        |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                                                              |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                                                                        |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                                                                      |          1 |          4 |          3 |          1 |          8 |
| android/gradle                                                                                                                                               |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                                                                       |          1 |          5 |          1 |          1 |          7 |
| ios                                                                                                                                                          |          7 |        101 |          4 |          8 |        113 |
| ios/Runner                                                                                                                                                   |          7 |        101 |          4 |          8 |        113 |
| ios/Runner/Assets.xcassets                                                                                                                                   |          3 |         27 |          0 |          3 |         30 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                                                                |          1 |          1 |          0 |          0 |          1 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                                                              |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                                                                        |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                                                                          |         53 |      5,062 |        101 |        657 |      5,820 |
| lib/src                                                                                                                                                      |         52 |      5,022 |        100 |        650 |      5,772 |
| lib/src/config                                                                                                                                               |          3 |         97 |          1 |          9 |        107 |
| lib/src/models                                                                                                                                               |         10 |      1,181 |          0 |        192 |      1,373 |
| lib/src/services                                                                                                                                             |          6 |      1,135 |         95 |        244 |      1,474 |
| lib/src/services/authentication                                                                                                                              |          2 |        193 |          0 |         45 |        238 |
| lib/src/services/repositories                                                                                                                                |          4 |        942 |         95 |        199 |      1,236 |
| lib/src/ui                                                                                                                                                   |         33 |      2,609 |          4 |        205 |      2,818 |
| lib/src/ui/providers                                                                                                                                         |         14 |        149 |          0 |         33 |        182 |
| lib/src/ui/providers/authentication_providers                                                                                                                |          3 |         17 |          0 |          6 |         23 |
| lib/src/ui/providers/next_class_providers                                                                                                                    |          3 |         43 |          0 |          6 |         49 |
| lib/src/ui/components                                                                                                                                 |          7 |        675 |          0 |         39 |        714 |
| lib/src/ui/views                                                                                                                                             |         12 |      1,785 |          4 |        133 |      1,922 |
| lib/src/ui/views/authentication_views                                                                                                                        |          2 |        306 |          0 |         23 |        329 |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
